address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,blockNumber_int,timeStamp_int,timeStamp_dt,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x000000000000000000000000c9746d57fc7c345f2c38ac5d70c7cbf0c9f003d7']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffc503d5010000000000000000000000000000000000000000000000000853a0d2313c0000000000000000000000000000000000000000602910f48fb7744afb7530ea9e4c0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8a8,0x6482da3c6866f077af65226e64d12404bdd8e76f912588a085816d8a13ba843e,0x64ea286f,0x489ad48e8,0x21b24,0x19f,0x576d098aa850b1a9a6d4cec157a3cfc1153eec103e81ed7fc055773e23eef160,0x60,18000040,1693067375,2023-08-26 16:29:35,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc9746d57fc7c345f2c38ac5d70c7cbf0c9f003d7,-989604607,600000000000000000,1950364924030384867033275190386252,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff']",0x0000000000000000000000000000000000000000000000000000000020c85580fffffffffffffffffffffffffffffffffffffffffffffffffb60791ab99e35a800000000000000000000000000000000000060290ef4ad56ebfd64585b22ab040000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8aa,0x753e6966e1c458a359ecf097862df3ad70af307c057590e09a03cd873a7ade74,0x64ea2887,0x500c2616d,0x6734d,0x33,0xa7082b7b8f569d53499eb79fca2b2c8126458727a59472af96b511d37be8066e,0x23,18000042,1693067399,2023-08-26 16:29:59,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,550000000,-333133216735152728,1950364305200255509725638513830660,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000007f4aa49cbb69442276b9cc8f5faaf08c14f4bc59']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffec569c8000000000000000000000000000000000000000000000000002c68af0bb14000000000000000000000000000000000000000060291027d6a91b339a6949842c2f0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8aa,0x753e6966e1c458a359ecf097862df3ad70af307c057590e09a03cd873a7ade74,0x64ea2887,0x48f82ae6d,0x2f8c9,0x12e,0x493308c5c6517d181e3a697f2b77a7ebd327ef9c4d616bc48dbf02e528696bdd,0x70,18000042,1693067399,2023-08-26 16:29:59,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x7f4aa49cbb69442276b9cc8f5faaf08c14f4bc59,-329868160,200000000000000000,1950364676535615192194509657353263,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000051c72848c68a965f66fa7a88855f9f7784502a7f', '0x00000000000000000000000051c72848c68a965f66fa7a88855f9f7784502a7f']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffef1998b19900000000000000000000000000000000000000000000000262c429b0cfa9c000000000000000000000000000000000000000602a182f3d7ff3d38be18bc6b43c0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8b8,0xbd51727d598f366a4a705985d584f01fbd39340dd9e0e4accaec48a43eef2f6c,0x64ea292f,0x6ed9ae10f,0x1c14b,0x14,0xf880a2f80e3340a3de91561d4e071cda46ec7c9d82d679f1032d5b2d4f0dd5a6,0x3,18000056,1693067567,2023-08-26 16:32:47,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,-72585006695,44010347297946320896,1950446389526333358539867177792572,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad']",0x000000000000000000000000000000000000000000000000000000006c3d0b48fffffffffffffffffffffffffffffffffffffffffffffffff0bc03d3fb120000000000000000000000000000000000000000602a119501e263294cb9c7d8ef1d0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8b9,0xa238c846d60eca792f56fc54f74ee3e3a65208f5a6c6bc303629554e6c708e5d,0x64ea293b,0x51894c700,0x2c40e,0xa4,0x66894f5531f22491de9e534d16332f2f7657ea2a4ee851184f12f8d52333aac7,0x45,18000057,1693067579,2023-08-26 16:32:59,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,1815939912,-1100000000000000000,1950444346160172024293952931295005,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000003416cf6c708da44db2624d63ea0aaef7113527c6']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffac3a300e4000000000000000000000000000000000000000000000000bd3b442ecf314cb0000000000000000000000000000000000000602a63629b9343b3c9c8fdd8fbef0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fb,0x112a8ba,0x8259c9a3c858e2621674b8249785a984e1e8d87350d91084588e9c140c2cb23b,0x64ea2947,0x4dd170c06,0x3a013,0x11b,0x6e4eda20b7cfa9b6d1e36e71fcebad75c3d03a7faaf4e490aaa1c033012d3656,0x71,18000058,1693067591,2023-08-26 16:33:11,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-22487564060,13635567264629607600,1950469663001545452961644617989103,42650691009184698025,202235
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e8cfad4c75a5e1caf939fd80afcf837dde340a69', '0x000000000000000000000000e8cfad4c75a5e1caf939fd80afcf837dde340a69']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffff9dcabbcf6500000000000000000000000000000000000000000000000dde560c1ffa3961a70000000000000000000000000000000000006030622a18ce93fffffff8df528d0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315ff,0x112a8c1,0xbd4f083f7252f72ec0f84887d42e855f235585dc7d64d28b4166bae38ac7f1c0,0x64ea299b,0x38e5e5d377,0x1f9c4,0xa,0x525bde5f069dac2457e3dccda54bdbef9bf268a3ac953b49ae6f2cca7008b106,0x3,18000065,1693067675,2023-08-26 16:34:35,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,-421800456347,255828679014122873255,1950944654174239453926559745790605,42650691009184698025,202239
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x000000000000000000000000a02b3603baf16227b19766ec7b25908e25a6993a']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff9abc5a470000000000000000000000000000000000000000000000000e4db72d29ee815b000000000000000000000000000000000000603068590645bf37ec71437a29fb0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315ff,0x112a8c5,0x6e5195edc5b4cff579ab9b2508162c7698eabaca8ca788819ede7540fdefdd5e,0x64ea29cb,0x43a7b9994,0x1c6aa,0x211,0x4cafa490b98c87c5d1867ff279e222ca01dfdb20393ce63d3533d9e2332a9050,0x47,18000069,1693067723,2023-08-26 16:35:23,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa02b3603baf16227b19766ec7b25908e25a6993a,-1698932153,1030681294342619483,1950946567816285217472430160357883,42650691009184698025,202239
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff']",0x0000000000000000000000000000000000000000000000000000000035a4e900fffffffffffffffffffffffffffffffffffffffffffffffff86e2a26b58e22b100000000000000000000000000000000000060306512e56b18592c70b305194d0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315ff,0x112a8c5,0x6e5195edc5b4cff579ab9b2508162c7698eabaca8ca788819ede7540fdefdd5e,0x64ea29cb,0x43a7b9994,0x32758,0x236,0x7ae4087e67a5d95f9c58afc03b282c3f5d90c4ce9d0260ecb79a7ba986220fcd,0x53,18000069,1693067723,2023-08-26 16:35:23,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,900000000,-545452159122136399,1950945554581299238494120645564749,42650691009184698025,202239
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x000000000000000000000000b305551d328c1f4b5ceec1d35078879d2e5b373f']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff26de4caf0000000000000000000000000000000000000000000000001eab7f4a799d0000000000000000000000000000000000000000603073113ca661fd11efe6f89717000000000000000000000000000000000000000000000001e9c8de46f1657d570000000000000000000000000000000000000000000000000000000000031600,0x112a8c7,0xf7a263f83ef235b2027ca554f3475bbd76d335ad7ff0db8f1010e118c3269d29,0x64ea29e3,0x43a43dd77,0x2b1c6,0x94,0x78fe21e7565ae57985b71664d79c1ec2991d0e500c5c858ef943c7279d1e298e,0x4b,18000071,1693067747,2023-08-26 16:35:47,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xb305551d328c1f4b5ceec1d35078879d2e5b373f,-3642864465,2210000000000000000,1950949885365524646342952908003095,35292702876167929175,202240
