transactionHash,isolation_forest_anomaly,isolation_score
0x8187139f2cf5e1d2b0a817f2951f0592fccc43dabf71ebc93de0edb648bd3413,-1,0.0038665757461777694
0x29ec08dc5eed0e1cd411b29c52607661155087ffa107bae7f5e4a79f5306be1d,-1,0.004457608954054448
0xcf7b968094b30c7a7e1c88003e8496c621b73ef284e41019c53101548ae20825,-1,0.0034024803031474926
0x070379239598fdeaed5cf8910f87135c55783fb75778715c16400ea4a4e96b7b,1,-0.01039113139092629
0xb3bb64bb54d6465a80bfa0fe396868c08c40595b84e9d49ee493ff0b056d8f34,-1,0.005050107903111667
0xf2a7a81d39cfa4e64b67d33a2c4e63cc7291fd931ebae2754240d9a9ecbb47b4,1,-0.00928694445646483
0xfb0800075a5b48d32e9766962bded29a59ed1a4231d4124c63585f035ef58f49,1,-0.009288457592792176
0x195b32039fe91b7d662827637e7fac59ebde269aa223cfb3164556b7d243b40c,-1,0.008535015660519618
0xf28c37f6f39da97a1e5d1b9df4ca35ac8dc5217fb51c587a6fd5d1c54da7741f,1,-0.005359118741848468
0xa8c4873c8540e31366847b146c17b7f81a8ea89399faf8f1087526ab6adb5ef0,1,-0.0064392653400897615
0x576d098aa850b1a9a6d4cec157a3cfc1153eec103e81ed7fc055773e23eef160,-1,0.0029938417190745747
0xa7082b7b8f569d53499eb79fca2b2c8126458727a59472af96b511d37be8066e,-1,0.014585947752227102
0x493308c5c6517d181e3a697f2b77a7ebd327ef9c4d616bc48dbf02e528696bdd,1,-0.008288734407667087
0xf880a2f80e3340a3de91561d4e071cda46ec7c9d82d679f1032d5b2d4f0dd5a6,-1,0.08569745340007606
0x66894f5531f22491de9e534d16332f2f7657ea2a4ee851184f12f8d52333aac7,1,-0.00012215808575011255
0x6e4eda20b7cfa9b6d1e36e71fcebad75c3d03a7faaf4e490aaa1c033012d3656,-1,0.013098048289201913
0x525bde5f069dac2457e3dccda54bdbef9bf268a3ac953b49ae6f2cca7008b106,-1,0.20005406433900952
0x4cafa490b98c87c5d1867ff279e222ca01dfdb20393ce63d3533d9e2332a9050,1,-0.033803612871619815
0x7ae4087e67a5d95f9c58afc03b282c3f5d90c4ce9d0260ecb79a7ba986220fcd,1,-0.052626529216517004
0x78fe21e7565ae57985b71664d79c1ec2991d0e500c5c858ef943c7279d1e298e,1,-0.10396553691953259
0xf30a9820f35e96a345c7385f4fc5817607dda9ba0ba3a19e18e0b7213a11d287,1,-0.10031585471767246
0x260b99ad20aee1eae6ab1e764ba1b3a6bf946c3da605e0a5256e90e754ec330f,1,-0.10649300457968436
0x380b9c771c20e3aee11096f12896a6e35335a62ff6983d60e5b7aa62e746df77,1,-0.0319293213383528
0x18a1e99d1e4df854f2b8d81df65f5e68355a491a80101d1c2ff74607753d2a60,1,-0.12692216563891562
0x22ade2cb421bc5be2c24dbbde8b89f8b9b66e4465d9cbcfe90378eee829092af,1,-0.12574269997914583
0x22ade2cb421bc5be2c24dbbde8b89f8b9b66e4465d9cbcfe90378eee829092af,1,-0.1240213787819412
0xdc2426005a5726dcd39619da157d6410d3a7d0862efb5be1cab2729c8ff7e30b,1,-0.11738117505892709
0x5a647a4cdfa8501c729007530bfe4ad283ebbff20e624e2cb81c041481206a91,1,-0.12588526105956155
0x6a138e9b9dadcb92fcf5397a284c4f69c2cd556296bb47617350a1be267a2952,1,-0.129315927995183
0x86f7537300feab454a095009b6f3a18193620f49e9274c48a032d9e8924b5f96,1,-0.12701324359799165
0x58d84eb8673cb03710908308f10440a3eff9f055583cad6933609353df84e6ff,-1,0.07106573035866726
0xd71237977566fc90f775c31715f7d443e46eb7e356726552d08600347cf0d9a5,-1,0.17501505157809116
0x03dc807b461f4c252ee47091162c3e3f22efbcba33efc0badb8a71c5d1e0b687,1,-0.14536176800675255
0x43a55f779e0c1f301ae486239cbbc6532071934e27143d1e2ec187be9a66744f,1,-0.1739995354613768
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,1,-0.03839612954362048
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,1,-0.03822043535507136
0x3702ac58120bfc9f8ae33e5b09e8ba41d8a558af492ef2ffc61439ae8fb4011f,1,-0.18318266508092207
0xcd34ba3181b7ad68bf2af259c997089535ec1d85671101a5c3e831423fe45b59,1,-0.15444364990418502
0xf894655f111385850ba55f530542a86dbed9800a948ee4d6bd1db5fb8c7d3bb5,1,-0.10415203285332941
0x5d8ce7a9cc0a44022130c006e997d1edf71d88215cdbb3bf5ae63393fc7fdc4f,1,-0.16237479447415593
0xcadb0ff4f2c3a74fc03168bf290283b47dbeff068c07c9f784da8d3caf04e88f,1,-0.1805453427275171
0xee1b9c9440f80f0b0f6caadbc009d06195f5d8f38aa365b8fa1e7290f09d2f85,1,-0.18116277411913717
0xffb1cb00b80d185b8d825d6caf9ee86dbff622359cc18cd9457865a20f26fe24,-1,0.02332156640452776
0x99f2d76d7522b8fe92295e957fc635930416e842645bdba7c44540c8c9f4cb99,-1,0.014475303868647149
0x732cdf51f30f7af1ccff43fd0dac476298e0cb6578a72c457e3860ef9be03429,1,-0.18533439602887497
0xc8ac88a39a545751dc62b112c3de1db843d56a9ca411a2b4ba8459f2bcff6541,1,-0.19140673224622634
0x9598e17e87c83ee5ab502311cb8063dcc3745d212385a9c305933ad8ce73897a,1,-0.13454050946237472
0xb329b1d898100e577ce2a09ee9e0fe32688eab4243fc5a0ead99242640242c5c,1,-0.18095749566120994
0x3a2a6429696d8d338cf43ff6917fffcd5518781d215e0f882a9f98b094f73d97,1,-0.18483071917455207
0xd4eadacf87abc21534452b083017a6f580b60790cb16387fc67aab340fe2f6bd,1,-0.17671248855796579
0xdf3fce9c2894bc2651657f203b7d5e21729853cf49b22e33469206b31829beba,1,-0.17341712632905892
0x6b151915ab904885bd144d0ebdec52f00770fcf5488979107b5a1adaad2b1ef4,1,-0.18388353642821192
0x1037323d011b7da15164f43ee60204a5272324fde0839ecfb381589c4cd13d85,1,-0.1894002143163825
0x86a0b6cc9204c53a5bc90ea979e56dcc27d88380715af598cd2048940e172165,1,-0.026490336889470556
0xcfbdc68ea784e3a4d232b5d4074c890dd00d86cfc64113f1173edfc9653f6e9b,1,-0.19733348797018407
0xd65039ae0a0f4067f56dc01ed0a13c216d78b77ca854dc30ba3a4e18cc8bcb9d,-1,0.07385401821679427
0x9c95e05b60f70a5304b25cd8b43d8174303466caeefb577bea489b85f9ce4c48,1,-0.18170975494450614
0x5e9f7952f40f32892545aff4baee384e6656ff50f3ffa4bc9c07c1c4b52c66f9,1,-0.17788138470643927
0x970edb6941bad61ccb264f40571160ef6048b8f56cd2df19460d873e60a0c8b1,1,-0.17376076984091743
0xdb850d4101c6b3beb498adb3574f1b079a3dcea3318cd4e292d63a43fe862ab9,1,-0.17445995251368207
