transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0xdc2426005a5726dcd39619da157d6410d3a7d0862efb5be1cab2729c8ff7e30b,False,False,False,False,False,0.2519631151359294,5.701619053484861e-05,0.1260100656632321
0x5a647a4cdfa8501c729007530bfe4ad283ebbff20e624e2cb81c041481206a91,False,False,False,False,False,0.2319232165645672,4.502148957030049e-05,0.11598411902706875
0x6a138e9b9dadcb92fcf5397a284c4f69c2cd556296bb47617350a1be267a2952,False,False,False,False,False,0.22383884189845357,1.8379911948252327e-05,0.11192861090520091
0x86f7537300feab454a095009b6f3a18193620f49e9274c48a032d9e8924b5f96,False,False,False,False,False,0.2292651230717779,5.256056871931346e-05,0.1146588418202486
0x58d84eb8673cb03710908308f10440a3eff9f055583cad6933609353df84e6ff,True,True,True,True,True,0.6960386889687808,0.0040822896983286755,0.35006048933355477
0xd71237977566fc90f775c31715f7d443e46eb7e356726552d08600347cf0d9a5,True,True,True,True,True,0.9409955078019612,0.42956822944829764,0.6852818686251294
0x03dc807b461f4c252ee47091162c3e3f22efbcba33efc0badb8a71c5d1e0b687,False,False,False,False,False,0.18602678234259218,0.0001977027362061273,0.09311224253939915
0x43a55f779e0c1f301ae486239cbbc6532071934e27143d1e2ec187be9a66744f,False,False,False,False,False,0.11854181628532143,0.00033007405765149276,0.05943594517148646
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4380915598227632,0.001612317185092106,0.21985193850392765
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4380915598227632,0.0016335109131443758,0.2198625353679538
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4385055835894371,0.001612317185092106,0.22005895038726458
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4385055835894371,0.0016335109131443758,0.22006954725129074
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4380915598227632,0.001612317185092106,0.21985193850392765
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4380915598227632,0.0016335109131443758,0.2198625353679538
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4385055835894371,0.001612317185092106,0.22005895038726458
0x76971a4f00a0a836322c9825b6edf06c8c49bf4261ef86fc88893154283a7124,False,True,True,False,False,0.4385055835894371,0.0016335109131443758,0.22006954725129074
0x3702ac58120bfc9f8ae33e5b09e8ba41d8a558af492ef2ffc61439ae8fb4011f,False,False,False,False,False,0.09690174983613127,0.0002514071510567697,0.04857657849359402
